Peak Time,Load MW,Forecast MW,Degrees F,Day,DoW,Month,Hour
2023-03-15 07:00:00-04:00,111024,108072,32,15,2,3,7
2023-03-16 07:00:00-04:00,104807,103178,34,16,3,3,7
2023-03-17 08:00:00-04:00,92018,90821,50,17,4,3,8
2023-03-18 20:00:00-04:00,92092,90337,43,18,5,3,20
2023-03-19 20:00:00-04:00,97658,96314,38,19,6,3,20
2023-03-20 07:00:00-04:00,110875,107714,32,20,0,3,7
2023-03-21 07:00:00-04:00,105909,103926,33,21,1,3,7
2023-03-22 08:00:00-04:00,93176,93842,47,22,2,3,8
2023-03-23 10:00:00-04:00,87955,86102,59,23,3,3,10
2023-03-24 10:00:00-04:00,88412,87079,50,24,4,3,10
2023-03-25 11:00:00-04:00,85126,80032,53,25,5,3,11
2023-03-26 20:00:00-04:00,81005,81286,56,26,6,3,20
2023-03-27 07:00:00-04:00,88698,89525,48,27,0,3,7
2023-03-28 08:00:00-04:00,91341,93266,45,28,1,3,8
2023-03-29 07:00:00-04:00,95519,96066,39,29,2,3,7
2023-03-30 07:00:00-04:00,97811,99810,37,30,3,3,7
2023-03-31 08:00:00-04:00,92217,91888,45,31,4,3,8
2023-04-01 20:00:00-04:00,79288,80332,58,1,5,4,20
2023-04-02 20:00:00-04:00,82101,81661,50,2,6,4,20
2023-04-03 07:00:00-04:00,91562,91574,44,3,0,4,7
2023-04-04 20:00:00-04:00,87230,86246,69,4,1,4,20
2023-04-05 17:00:00-04:00,89866,91816,76,5,2,4,17
2023-04-06 17:00:00-04:00,88881,89299,68,6,3,4,17
2023-04-07 20:00:00-04:00,81341,83373,56,7,4,4,20
2023-04-08 20:00:00-04:00,80374,80729,52,8,5,4,20
2023-04-09 07:00:00-04:00,78040,76588,41,9,6,4,7
2023-04-10 07:00:00-04:00,88379,90774,41,10,0,4,7
2023-04-11 07:00:00-04:00,86202,86081,48,11,1,4,7
2023-04-12 18:00:00-04:00,90242,88395,75,12,2,4,18
2023-04-13 18:00:00-04:00,97898,98752,80,13,3,4,18
2023-04-14 17:00:00-04:00,93270,97129,81,14,4,4,17
2023-04-15 17:00:00-04:00,85722,85052,80,15,5,4,17
2023-04-16 20:00:00-04:00,83521,84916,72,16,6,4,20
2023-04-17 20:00:00-04:00,86689,87070,64,17,0,4,20
2023-04-18 08:00:00-04:00,84714,85783,50,18,1,4,8
2023-04-19 07:00:00-04:00,85089,85745,49,19,2,4,7
2023-04-20 18:00:00-04:00,90888,89294,82,20,3,4,18
2023-04-21 17:00:00-04:00,89996,90493,81,21,4,4,17
2023-04-22 20:00:00-04:00,77536,78173,64,22,5,4,20
2023-04-23 20:00:00-04:00,80561,79377,58,23,6,4,20
2023-04-24 08:00:00-04:00,85563,87485,49,24,0,4,8
2023-04-25 07:00:00-04:00,88315,89057,48,25,1,4,7
2023-04-26 07:00:00-04:00,86450,86657,49,26,2,4,7
2023-04-27 08:00:00-04:00,84752,84577,50,27,3,4,8
2023-04-28 11:00:00-04:00,84121,81710,62,28,4,4,11
2023-04-29 20:00:00-04:00,76986,77065,63,29,5,4,20
2023-04-30 20:00:00-04:00,80154,78622,63,30,6,4,20
2023-05-01 20:00:00-04:00,87417,86646,57,1,0,5,20
2023-05-02 20:00:00-04:00,87507,88182,52,2,1,5,20
2023-05-03 08:00:00-04:00,87731,88485,49,3,2,5,8
2023-05-04 07:00:00-04:00,86469,86933,50,4,3,5,7
2023-05-05 07:00:00-04:00,82873,83275,52,5,4,5,7
2023-05-06 20:00:00-04:00,77353,77137,72,6,5,5,20
2023-05-07 20:00:00-04:00,82912,81842,72,7,6,5,20
2023-05-08 18:00:00-04:00,92353,90446,77,8,0,5,18
2023-05-09 18:00:00-04:00,85365,85392,70,9,1,5,18
2023-05-10 18:00:00-04:00,87314,87207,78,10,2,5,18
2023-05-11 18:00:00-04:00,95216,93215,85,11,3,5,18
2023-05-12 17:00:00-04:00,99492,97792,82,12,4,5,17
2023-05-13 17:00:00-04:00,84599,87555,79,13,5,5,17
2023-05-14 18:00:00-04:00,82111,82724,76,14,6,5,18
2023-05-15 18:00:00-04:00,88857,87765,77,15,0,5,18
2023-05-16 17:00:00-04:00,92025,91361,76,16,1,5,17
2023-05-17 17:00:00-04:00,85574,86282,71,17,2,5,17
2023-05-18 20:00:00-04:00,83951,84752,72,18,3,5,20
2023-05-19 17:00:00-04:00,86997,84999,77,19,4,5,17
2023-05-20 18:00:00-04:00,81525,79399,76,20,5,5,18
2023-05-21 18:00:00-04:00,84315,82309,78,21,6,5,18
2023-05-22 17:00:00-04:00,95497,96880,80,22,0,5,17
2023-05-23 17:00:00-04:00,95389,98222,81,23,1,5,17
2023-05-24 17:00:00-04:00,96130,95254,83,24,2,5,17
2023-05-25 18:00:00-04:00,84879,86959,75,25,3,5,18
2023-05-26 18:00:00-04:00,85062,84365,77,26,4,5,18
2023-05-27 18:00:00-04:00,79913,81039,77,27,5,5,18
2023-05-28 18:00:00-04:00,80638,83464,77,28,6,5,18
2023-05-29 18:00:00-04:00,91513,91158,82,29,0,5,18
2023-05-30 17:00:00-04:00,103931,101819,82,30,1,5,17
2023-05-31 17:00:00-04:00,107037,106721,86,31,2,5,17
2023-06-01 17:00:00-04:00,115410,116221,90,1,3,6,17
2023-06-02 17:00:00-04:00,123616,126479,95,2,4,6,17
2023-06-03 16:00:00-04:00,106152,104182,84,3,5,6,16
2023-06-04 18:00:00-04:00,92774,93995,82,4,6,6,18
2023-06-05 17:00:00-04:00,99578,102867,86,5,0,6,17
2023-06-06 17:00:00-04:00,99278,106434,86,6,1,6,17
2023-06-07 17:00:00-04:00,94906,98273,78,7,2,6,17
2023-06-08 17:00:00-04:00,91344,93824,77,8,3,6,17
2023-06-09 17:00:00-04:00,92596,90823,79,9,4,6,17
2023-06-10 18:00:00-04:00,97631,94300,86,10,5,6,18
2023-06-11 17:00:00-04:00,96064,101404,88,11,6,6,17
2023-06-12 17:00:00-04:00,96627,97873,77,12,0,6,17
2023-06-13 17:00:00-04:00,95181,96513,81,13,1,6,17
2023-06-14 18:00:00-04:00,95091,95566,78,14,2,6,18
2023-06-15 17:00:00-04:00,102147,103933,85,15,3,6,17
2023-06-16 17:00:00-04:00,92344,96269,78,16,4,6,17
2023-06-17 17:00:00-04:00,92200,93074,85,17,5,6,17
2023-06-18 17:00:00-04:00,100145,101331,71,18,6,6,17
2023-06-19 17:00:00-04:00,113004,119965,71,19,0,6,17
2023-06-20 17:00:00-04:00,107738,113277,85,20,1,6,17
2023-06-21 17:00:00-04:00,103625,105837,80,21,2,6,17
2023-06-22 17:00:00-04:00,96085,98584,78,22,3,6,17
2023-06-23 17:00:00-04:00,101038,101435,79,23,4,6,17
2023-06-24 18:00:00-04:00,109003,106106,86,24,5,6,18
2023-06-25 17:00:00-04:00,112370,111041,87,25,6,6,17
2023-06-26 17:00:00-04:00,116201,117339,84,26,0,6,17
2023-06-27 17:00:00-04:00,105616,107230,79,27,1,6,17
2023-06-28 17:00:00-04:00,111688,113030,85,28,2,6,17
2023-06-29 17:00:00-04:00,119727,124630,88,29,3,6,17
2023-06-30 16:00:00-04:00,122549,126236,93,30,4,6,16
2023-07-01 17:00:00-04:00,111333,115857,87,1,5,7,17
2023-07-02 17:00:00-04:00,115139,113237,86,2,6,7,17
2023-07-03 17:00:00-04:00,124290,129636,86,3,0,7,17
2023-07-04 17:00:00-04:00,123772,123572,88,4,1,7,17
2023-07-05 17:00:00-04:00,138175,137748,94,5,2,7,17
2023-07-06 17:00:00-04:00,134965,131177,86,6,3,7,17
2023-07-07 16:00:00-04:00,129669,126475,87,7,4,7,16
2023-07-08 16:00:00-04:00,114938,114216,85,8,5,7,16
2023-07-09 16:00:00-04:00,107783,106679,84,9,6,7,16
2023-07-10 17:00:00-04:00,127356,120829,86,10,0,7,17
2023-07-11 17:00:00-04:00,130769,131894,92,11,1,7,17
2023-07-12 17:00:00-04:00,131240,134617,92,12,2,7,17
2023-07-13 17:00:00-04:00,136347,138772,91,13,3,7,17
2023-07-14 16:00:00-04:00,136911,128676,87,14,4,7,16
2023-07-15 16:00:00-04:00,123744,121881,90,15,5,7,16
2023-07-16 17:00:00-04:00,117197,122972,87,16,6,7,17
2023-07-17 17:00:00-04:00,131105,134024,90,17,0,7,17
2023-07-18 17:00:00-04:00,129299,129856,87,18,1,7,17
2023-07-19 17:00:00-04:00,127450,128955,86,19,2,7,17
2023-07-20 17:00:00-04:00,134410,130868,86,20,3,7,17
2023-07-21 17:00:00-04:00,124005,121957,86,21,4,7,17
2023-07-22 17:00:00-04:00,113143,113505,86,22,5,7,17
2023-07-23 17:00:00-04:00,119959,119740,86,23,6,7,17
2023-07-24 17:00:00-04:00,131850,132213,87,24,0,7,17
2023-07-25 17:00:00-04:00,130119,137400,88,25,1,7,17
2023-07-26 17:00:00-04:00,137682,144300,95,26,2,7,17
2023-07-27 17:00:00-04:00,147175,150381,95,27,3,7,17
2023-07-28 17:00:00-04:00,144782,151643,95,28,4,7,17
2023-07-29 16:00:00-04:00,130530,132701,92,29,5,7,16
2023-07-30 17:00:00-04:00,114718,117183,86,30,6,7,17
2023-07-31 17:00:00-04:00,120871,120065,86,31,0,7,17
2023-08-01 17:00:00-04:00,116401,119295,86,1,1,8,17
2023-08-02 17:00:00-04:00,118982,122567,87,2,2,8,17
2023-08-03 16:00:00-04:00,118575,124744,86,3,3,8,16
2023-08-04 17:00:00-04:00,120389,120345,83,4,4,8,17
2023-08-05 17:00:00-04:00,114152,119789,87,5,5,8,17
2023-08-06 17:00:00-04:00,117547,118897,86,6,6,8,17
2023-08-07 16:00:00-04:00,122891,121942,85,7,0,8,16
2023-08-08 17:00:00-04:00,118470,120266,86,8,1,8,17
2023-08-09 17:00:00-04:00,123415,124798,86,9,2,8,17
2023-08-10 17:00:00-04:00,116011,115867,81,10,3,8,17
2023-08-11 17:00:00-04:00,125670,123355,87,11,4,8,17
2023-08-12 17:00:00-04:00,124214,123829,92,12,5,8,17
2023-08-13 17:00:00-04:00,124354,124330,91,13,6,8,17
2023-08-14 16:00:00-04:00,123097,121048,84,14,0,8,16
2023-08-15 16:00:00-04:00,122422,118988,84,15,1,8,16
2023-08-16 17:00:00-04:00,121412,119232,86,16,2,8,17
2023-08-17 16:00:00-04:00,124353,122871,86,17,3,8,16
2023-08-18 17:00:00-04:00,112512,112919,84,18,4,8,17
2023-08-19 17:00:00-04:00,105499,102937,86,19,5,8,17
2023-08-20 17:00:00-04:00,125101,121549,90,20,6,8,17
2023-08-21 17:00:00-04:00,137841,137961,94,21,0,8,17
2023-08-22 17:00:00-04:00,126198,125505,88,22,1,8,17
2023-08-23 17:00:00-04:00,125267,127503,89,23,2,8,17
2023-08-24 17:00:00-04:00,126675,129192,85,24,3,8,17
2023-08-25 17:00:00-04:00,129142,129500,89,25,4,8,17
2023-08-26 17:00:00-04:00,121577,119193,86,26,5,8,17
2023-08-27 17:00:00-04:00,113377,107061,85,27,6,8,17
2023-08-28 17:00:00-04:00,112736,111717,80,28,0,8,17
2023-08-29 17:00:00-04:00,117086,114951,86,29,1,8,17
2023-08-30 16:00:00-04:00,112233,111794,83,30,2,8,16
2023-08-31 17:00:00-04:00,104911,103848,78,31,3,8,17
2023-09-01 17:00:00-04:00,107963,104653,82,1,4,9,17
2023-09-02 17:00:00-04:00,112011,109280,88,2,5,9,17
2023-09-03 17:00:00-04:00,128479,128666,95,3,6,9,17
2023-09-04 17:00:00-04:00,138721,139777,95,4,0,9,17
2023-09-05 16:00:00-04:00,146441,152035,95,5,1,9,16
2023-09-06 16:00:00-04:00,141482,146399,92,6,2,9,16
2023-09-07 15:00:00-04:00,130365,134306,90,7,3,9,15
2023-09-08 15:00:00-04:00,121981,123408,88,8,4,9,15
2023-09-09 14:00:00-04:00,106303,103254,83,9,5,9,14
2023-09-10 17:00:00-04:00,103614,101946,79,10,6,9,17
2023-09-11 17:00:00-04:00,115160,113452,85,11,0,9,17
2023-09-12 17:00:00-04:00,113002,111066,82,12,1,9,17
2023-09-13 17:00:00-04:00,107853,101881,77,13,2,9,17
2023-09-14 17:00:00-04:00,101099,98439,78,14,3,9,17
2023-09-15 17:00:00-04:00,93936,95449,78,15,4,9,17
2023-09-16 17:00:00-04:00,88394,90489,79,16,5,9,17
2023-09-17 19:00:00-04:00,86651,86356,71,17,6,9,19
2023-09-18 17:00:00-04:00,93099,94904,77,18,0,9,17
2023-09-19 17:00:00-04:00,92724,95053,78,19,1,9,17
2023-09-20 17:00:00-04:00,98454,99940,81,20,2,9,17
2023-09-21 17:00:00-04:00,98707,101371,80,21,3,9,17
2023-09-22 16:00:00-04:00,93211,97205,80,22,4,9,16
2023-09-23 17:00:00-04:00,83917,84584,72,23,5,9,17
2023-09-24 19:00:00-04:00,86113,84764,72,24,6,9,19
2023-09-25 19:00:00-04:00,91589,91954,72,25,0,9,19
2023-09-26 19:00:00-04:00,90680,91503,72,26,1,9,19
2023-09-27 19:00:00-04:00,88760,89412,71,27,2,9,19
2023-09-28 19:00:00-04:00,88773,88569,71,28,3,9,19
2023-09-29 17:00:00-04:00,89594,89734,74,29,4,9,17
2023-09-30 17:00:00-04:00,88076,85792,75,30,5,9,17
2023-10-01 17:00:00-04:00,95245,92925,80,1,6,10,17
2023-10-02 17:00:00-04:00,107605,106605,86,2,0,10,17
2023-10-03 17:00:00-04:00,111521,111099,86,3,1,10,17
2023-10-04 16:00:00-04:00,109697,110180,86,4,2,10,16
2023-10-05 16:00:00-04:00,98553,101093,84,5,3,10,16
2023-10-06 16:00:00-04:00,93900,94058,77,6,4,10,16
2023-10-07 19:00:00-04:00,77336,79790,66,7,5,10,19
2023-10-08 19:00:00-04:00,79336,79854,61,8,6,10,19
2023-10-09 19:00:00-04:00,86139,85905,62,9,0,10,19
2023-10-10 19:00:00-04:00,85959,85104,62,10,1,10,19
2023-10-11 19:00:00-04:00,86232,84089,68,11,2,10,19
2023-10-12 19:00:00-04:00,86813,85496,70,12,3,10,19
2023-10-13 19:00:00-04:00,83532,83286,70,13,4,10,19
2023-10-14 19:00:00-04:00,79813,78590,62,14,5,10,19
2023-10-15 19:00:00-04:00,80839,79893,57,15,6,10,19
2023-10-16 19:00:00-04:00,87777,86957,58,16,0,10,19
2023-10-17 19:00:00-04:00,87019,86119,59,17,1,10,19
2023-10-18 19:00:00-04:00,86523,85436,60,18,2,10,19
2023-10-19 19:00:00-04:00,86286,85284,64,19,3,10,19
2023-10-20 10:00:00-04:00,83784,82278,63,20,4,10,10
2023-10-21 19:00:00-04:00,78706,78408,59,21,5,10,19
2023-10-22 19:00:00-04:00,81308,80600,55,22,6,10,19
2023-10-23 08:00:00-04:00,89241,87846,46,23,0,10,8
2023-10-24 07:00:00-04:00,89187,87602,51,24,1,10,7
2023-10-25 19:00:00-04:00,87638,86531,67,25,2,10,19
2023-10-26 19:00:00-04:00,88861,90098,69,26,3,10,19
2023-10-27 17:00:00-04:00,87771,91526,75,27,4,10,17
2023-10-28 18:00:00-04:00,83901,86476,71,28,5,10,18
2023-10-29 19:00:00-04:00,84570,83613,63,29,6,10,19
2023-10-30 18:00:00-04:00,90977,89782,54,30,0,10,18
2023-10-31 08:00:00-04:00,91176,91512,43,31,1,10,8
2023-11-01 19:00:00-04:00,97287,95110,46,1,2,11,19
2023-11-02 07:00:00-04:00,103221,102178,33,2,3,11,7
2023-11-03 08:00:00-04:00,100108,97522,41,3,4,11,8
2023-11-04 08:00:00-04:00,84312,81534,44,4,5,11,8
2023-11-05 18:00:00-05:00,82597,80269,57,5,6,11,18
2023-11-06 18:00:00-05:00,89594,88453,62,6,0,11,18
2023-11-07 18:00:00-05:00,89648,87657,64,7,1,11,18
2023-11-08 18:00:00-05:00,90490,88528,61,8,2,11,18
2023-11-09 18:00:00-05:00,89140,87799,63,9,3,11,18
2023-11-10 18:00:00-05:00,90212,89264,51,10,4,11,18
2023-11-11 18:00:00-05:00,85355,85038,50,11,5,11,18
2023-11-12 19:00:00-05:00,88571,88252,50,12,6,11,19
2023-11-13 07:00:00-05:00,99413,97767,41,13,0,11,7
2023-11-14 07:00:00-05:00,96365,95317,41,14,1,11,7
2023-11-15 07:00:00-05:00,97813,97332,41,15,2,11,7
2023-11-16 07:00:00-05:00,94731,93746,41,16,3,11,7
2023-11-17 17:00:00-05:00,88311,86668,63,17,4,11,17
2023-11-18 18:00:00-05:00,85455,84837,50,18,5,11,18
2023-11-19 18:00:00-05:00,87562,86288,50,19,6,11,18
2023-11-20 18:00:00-05:00,97818,97075,50,20,0,11,18
2023-11-21 17:00:00-05:00,98639,94520,52,21,1,11,17
2023-11-22 17:00:00-05:00,93485,93294,54,22,2,11,17
2023-11-23 08:00:00-05:00,82211,83512,46,23,3,11,8
2023-11-24 18:00:00-05:00,90392,91630,46,24,4,11,18
2023-11-25 19:00:00-05:00,93054,93151,41,25,5,11,19
2023-11-26 18:00:00-05:00,94155,92035,49,26,6,11,18
2023-11-27 18:00:00-05:00,106857,104086,40,27,0,11,18
2023-11-28 18:00:00-05:00,115966,111163,37,28,1,11,18
2023-11-29 07:00:00-05:00,117226,115232,32,29,2,11,7
2023-11-30 07:00:00-05:00,109422,109214,32,30,3,11,7
2023-12-01 08:00:00-05:00,99010,97701,41,1,4,12,8
2023-12-02 17:00:00-05:00,87674,85772,57,2,5,12,17
2023-12-03 18:00:00-05:00,90644,86774,55,3,6,12,18
2023-12-04 18:00:00-05:00,100289,98332,48,4,0,12,18
2023-12-05 18:00:00-05:00,103098,102393,46,5,1,12,18
2023-12-06 18:00:00-05:00,107496,105448,41,6,2,12,18
2023-12-07 07:00:00-05:00,107365,105315,36,7,3,12,7
2023-12-08 07:00:00-05:00,102246,100794,41,8,4,12,7
2020-01-01 01:00:00-05:00,77571,79636,38,1,2,1,1
2023-12-10 18:00:00-05:00,93948,92957,52,10,6,12,18
2023-12-11 18:00:00-05:00,108400,105786,41,11,0,12,18
2023-12-12 07:00:00-05:00,111887,109049,32,12,1,12,7
2023-12-13 07:00:00-05:00,108342,108395,37,13,2,12,7
2023-12-14 07:00:00-05:00,112374,111339,32,14,3,12,7
2023-12-15 07:00:00-05:00,108833,107773,37,15,4,12,7
2023-12-16 08:00:00-05:00,94778,92971,40,16,5,12,8
2023-12-17 18:00:00-05:00,93227,92260,54,17,6,12,18
2023-12-18 18:00:00-05:00,106712,104063,45,18,0,12,18
2023-12-19 18:00:00-05:00,112690,111597,38,19,1,12,18
2023-12-20 07:00:00-05:00,114038,114342,32,20,2,12,7
2023-12-21 07:00:00-05:00,107843,110453,37,21,3,12,7
2023-12-22 08:00:00-05:00,103421,106587,36,22,4,12,8
2023-12-23 17:00:00-05:00,92232,93295,50,23,5,12,17
2023-12-24 17:00:00-05:00,84695,89997,54,24,6,12,17
2023-12-25 18:00:00-05:00,81836,83434,54,25,0,12,18
2023-12-26 18:00:00-05:00,92033,95047,52,26,1,12,18
2023-12-27 17:00:00-05:00,94234,96016,55,27,2,12,17
2023-12-28 18:00:00-05:00,94786,96708,52,28,3,12,18
2023-12-29 17:00:00-05:00,95762,99429,46,29,4,12,17
2023-12-30 18:00:00-05:00,95470,95086,46,30,5,12,18
2023-12-31 17:00:00-05:00,94614,95606,46,31,6,12,17
