bid_datetime_beginning_utc,bid_datetime_beginning_ept,eco_max,emerg_max,total_committed
1/3/2024 9:00:00 AM,1/3/2024 4:00:00 AM,173664.20,175691.40,168551.70
1/3/2024 10:00:00 AM,1/3/2024 5:00:00 AM,174412.10,175878.40,168551.70
1/3/2024 11:00:00 AM,1/3/2024 6:00:00 AM,175347.90,176083.60,168551.70
1/3/2024 12:00:00 PM,1/3/2024 7:00:00 AM,175794.70,176143.70,168551.70
1/3/2024 1:00:00 PM,1/3/2024 8:00:00 AM,176662.70,177346.90,168551.70
1/3/2024 2:00:00 PM,1/3/2024 9:00:00 AM,176642.40,177910.80,168551.70
1/3/2024 3:00:00 PM,1/3/2024 10:00:00 AM,176059.20,177551.70,168551.70
1/3/2024 4:00:00 PM,1/3/2024 11:00:00 AM,175134.00,176908.40,168551.70
1/3/2024 5:00:00 PM,1/3/2024 12:00:00 PM,175041.50,176866.30,168551.70
1/3/2024 6:00:00 PM,1/3/2024 1:00:00 PM,175167.30,176997.90,168551.70
1/3/2024 7:00:00 PM,1/3/2024 2:00:00 PM,174525.90,176200.90,168551.70
1/3/2024 8:00:00 PM,1/3/2024 3:00:00 PM,174387.20,175680.20,168551.70
1/3/2024 9:00:00 PM,1/3/2024 4:00:00 PM,175198.20,175929.70,168551.70
1/3/2024 10:00:00 PM,1/3/2024 5:00:00 PM,175537.50,176010.90,168551.70
1/3/2024 11:00:00 PM,1/3/2024 6:00:00 PM,176128.30,176876.70,168551.70
1/4/2024 12:00:00 AM,1/3/2024 7:00:00 PM,177961.10,179411.40,168551.70
1/4/2024 1:00:00 AM,1/3/2024 8:00:00 PM,177527.20,178700.50,168551.70
1/4/2024 2:00:00 AM,1/3/2024 9:00:00 PM,177569.70,178772.00,168551.70
1/4/2024 3:00:00 AM,1/3/2024 10:00:00 PM,177517.70,178718.00,168551.70
1/4/2024 4:00:00 AM,1/3/2024 11:00:00 PM,177886.70,179097.00,168551.70
1/4/2024 5:00:00 AM,1/4/2024 12:00:00 AM,173738.30,176057.30,168551.70
