ERCOT 15-Minute Fuel Mix Generation (megawatt)
15-minute generation data by fuel for ERCOT
Source: EIA collected from ERCOT
UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Timestamp Central Time (Interval Ending),Local Date,Hour Number,Total Generation (MW),Biomass Generation (MW),Coal Generation (MW),Gas Generation (MW),Gas-CC Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Generation (MW),Solar Generation (MW),WSL Generation (MW),Wind Generation (MW)
2023-04-01 05:15:00,2023-04-01 00:00:00,2023-04-01 00:15:00,2023-04-01,1,41290.743908,14.161748,5186.195656,4016.09892,14337.55064,69.81586,3727.966724,33.050932,0.0,-104.785876,14010.689304
2023-04-01 05:30:00,2023-04-01 00:15:00,2023-04-01 00:30:00,2023-04-01,1,40590.297792,14.227604,5169.254152,3935.061308,13831.143932,70.407304,3728.155312,52.569156,0.0,-99.708168,13889.187192
2023-04-01 05:45:00,2023-04-01 00:30:00,2023-04-01 00:45:00,2023-04-01,1,40275.252912,14.212684,5140.670508,3933.295824,13869.077364,68.848196,3726.977736,62.6935,0.0,-83.631412,13543.108512
2023-04-01 06:00:00,2023-04-01 00:45:00,2023-04-01 01:00:00,2023-04-01,1,39635.445352,14.232636,5084.670748,4038.40218,13737.303804,68.805304,3728.71664,56.123052,0.005852,-84.622928,12991.808064
2023-04-01 06:15:00,2023-04-01 01:00:00,2023-04-01 01:15:00,2023-04-01,2,39159.585428,14.200368,5067.932044,4011.557464,13934.089476,68.90812,3727.879632,38.732916,0.005864,-44.602192,12340.881736
2023-04-01 06:30:00,2023-04-01 01:15:00,2023-04-01 01:30:00,2023-04-01,2,38780.095828,14.258136,5006.489044,3767.389568,14168.457952,69.179516,3727.886788,91.902364,0.003196,-25.9223,11960.451564
2023-04-01 06:45:00,2023-04-01 01:30:00,2023-04-01 01:45:00,2023-04-01,2,38407.932324,14.230692,5006.27282,3906.387544,14150.421468,68.865848,3727.558276,29.377676,0.001904,-59.837436,11564.653532
2023-04-01 07:00:00,2023-04-01 01:45:00,2023-04-01 02:00:00,2023-04-01,2,37927.537072,14.257612,5020.316784,3977.163076,13914.677316,69.13402,3728.228312,35.647468,0.010676,-74.292344,11242.394152
2023-04-01 07:15:00,2023-04-01 02:00:00,2023-04-01 02:15:00,2023-04-01,3,37603.319164,14.24752,5019.62846,3975.00926,13833.485928,68.878928,3727.133796,35.739312,0.003164,-45.176112,10974.368908
2023-04-01 07:30:00,2023-04-01 02:15:00,2023-04-01 02:30:00,2023-04-01,3,37172.760788,14.265572,5027.253488,3962.098444,13430.293008,68.97292,3727.586156,25.696096,0.005328,-78.313292,10994.903068
