index,height
-18623.193860269126,1
-17667.456035640425,1
-16711.71821101172,0
-15755.980386383017,0
-14800.242561754312,1
-13844.504737125611,2
-12888.766912496907,3
-11933.029087868203,0
-10977.291263239498,2
-10021.553438610797,2
-9065.815613982093,6
-8110.07778935339,2
-7154.339964724686,4
-6198.602140095983,4
-5242.864315467279,22
-4287.126490838576,19
-3331.388666209873,16
-2375.6508415811695,38
-1419.9130169524651,44
-464.17519232376253,44
491.56263230494005,48
1447.3004569336445,20
2403.038281562349,31
3358.7761061910514,18
4314.513930819754,21
5270.251755448458,8
6225.989580077161,5
7181.727404705864,2
8137.465229334568,1
9093.203053963272,1
