Peak Time,mu,sigma,xi,mean,VaR,EUE
2020-01-01 19:00:00-05:00,94813.21158796902,3247.126927682855,-0.2754298443396332,95974.21552253401,105371.2778700864,0.07285017393989894
2020-01-02 07:00:00-05:00,98347.84978788743,3690.9212121876335,-0.27230480041175315,99675.0655190315,110449.89108776508,0.08516549666795709
2020-01-03 17:00:00-05:00,93165.70607961688,3476.2030973160577,-0.2917396805235601,94372.0152670455,103992.5426815722,0.06736253396749468
2020-01-04 18:00:00-05:00,86770.73318122832,4384.140568466906,-0.4121732832683946,87976.20370264401,97045.51186894889,0.02893815639734983
2020-01-05 18:00:00-05:00,92920.7580430183,3524.121208566307,-0.2938826646360139,94138.87403905523,103835.88987989083,0.06699006253996169
2020-01-06 07:00:00-05:00,98347.84978788743,3690.9212121876335,-0.27230480041175315,99675.0655190315,110449.89108776508,0.08516549666795709
2020-01-07 18:00:00-05:00,104275.49971558504,3917.472567847837,-0.3245913051813979,105554.22353777265,115502.26970954592,0.056544037756186355
2020-01-08 18:00:00-05:00,106598.9614167528,3891.8032810965487,-0.2865878550654822,107962.3484622679,118884.55611603553,0.07898629984538524
2020-01-09 07:00:00-05:00,112148.18519540782,4276.193326054753,-0.18454486168674414,113945.8358749408,130219.82884352356,0.21769493594981354
2020-01-10 07:00:00-05:00,98347.84978788743,3690.9212121876335,-0.27230480041175315,99675.0655190315,110449.89108776508,0.08516549666795709
2020-01-11 18:00:00-05:00,83791.66964097421,4673.727507114481,-0.43958939909276695,85005.71104471888,94134.83343307118,0.024167751586726512
2020-01-12 18:00:00-05:00,83896.71299304387,4678.437503973478,-0.4359485980701955,85121.318967032,94327.92907885987,0.02498865366632706
2020-01-13 18:00:00-05:00,95525.23480461078,3222.7612631113484,-0.2731807169657656,96682.2588436806,106067.40916376552,0.07377987716256877
2020-01-14 18:00:00-05:00,95525.23480461078,3222.7612631113484,-0.2731807169657656,96682.2588436806,106067.40916376552,0.07377987716256877
2020-01-15 07:00:00-05:00,94468.21580425747,3270.803632928674,-0.2780767545075772,95632.05021819139,105028.41848675102,0.0716566492535241
2020-01-16 18:00:00-05:00,103435.5495776641,3930.325931503864,-0.3034129999487607,104770.31966437251,115313.87472507662,0.06858854232662141
2020-01-17 07:00:00-05:00,104534.43534707745,3909.291174548765,-0.33284667058873674,105790.71794070453,115513.54902658272,0.05240502743589874
2020-01-18 17:00:00-05:00,97001.8399727594,3540.7507997894118,-0.2714804326514525,98276.96721072886,108637.26447077382,0.08230805807226269
2020-01-19 18:00:00-05:00,104275.49971558504,3917.472567847837,-0.3245913051813979,105554.22353777265,115502.26970954592,0.056544037756186355
2020-01-20 18:00:00-05:00,113019.34684052844,4458.955356480737,-0.17327341964413648,114931.03564699744,132540.56409793024,0.2513784527603285
2020-01-21 07:00:00-05:00,116982.63141618842,5153.469731085641,-0.13953473682031642,119325.06707589721,142157.09459214125,0.39450436335785816
2020-01-22 07:00:00-05:00,116865.14213544535,5125.731812441186,-0.134858107688865,119213.83175462953,142299.2051614486,0.40940512020541964
2020-01-23 07:00:00-05:00,111435.55254732825,4132.167351452053,-0.19229944240572075,113149.25020273424,128485.7743515321,0.19611524146422588
2020-01-24 07:00:00-05:00,103435.5495776641,3930.325931503864,-0.3034129999487607,104770.31966437251,115313.87472507662,0.06858854232662141
2020-01-25 18:00:00-05:00,90706.33404448493,3855.853922363034,-0.32505187765772325,91963.85189159053,101743.98003291979,0.055425519529875206
2020-01-26 18:00:00-05:00,94468.21580425747,3270.803632928674,-0.2780767545075772,95632.05021819139,105028.41848675102,0.0716566492535241
2020-01-27 18:00:00-05:00,103937.73354750352,3937.1736108384707,-0.31751341216251516,105240.10744313223,115420.76438491268,0.06054878867581752
2020-01-28 18:00:00-05:00,104376.81273406766,3918.157042012116,-0.3317188155313185,105638.64092056006,115411.08118914992,0.053056930761767575
2020-01-29 18:00:00-05:00,104376.81273406766,3918.157042012116,-0.3317188155313185,105638.64092056006,115411.08118914992,0.053056930761767575
2020-01-30 07:00:00-05:00,106978.35751123089,3889.635340454519,-0.2777110728324458,108363.31237118281,119548.77310572685,0.0854944331924892
2020-01-31 07:00:00-05:00,104376.81273406766,3918.157042012116,-0.3317188155313185,105638.64092056006,115411.08118914992,0.053056930761767575
2020-02-01 18:00:00-05:00,93765.36979830753,3369.185469828494,-0.28545658296210247,94948.12517896408,104432.83516678159,0.06907767498383319
2020-02-02 18:00:00-05:00,88495.11675560044,4119.5763353210605,-0.38192336497345514,89698.89373082477,98811.21062208443,0.03561234371374244
2020-02-03 07:00:00-05:00,94468.21580425747,3270.803632928674,-0.2780767545075772,95632.05021819139,105028.41848675102,0.0716566492535241
2020-02-04 18:00:00-05:00,94468.21580425747,3270.803632928674,-0.2780767545075772,95632.05021819139,105028.41848675102,0.0716566492535241
2020-02-05 18:00:00-05:00,103253.04024211878,3928.437798786732,-0.2994599774820215,104596.98366029236,115246.49300634467,0.07103030190645632
2020-02-06 18:00:00-05:00,97702.68297667446,3634.0095666777233,-0.271247695038998,99011.94954573078,109652.05424873118,0.08465285906963664
2020-02-07 18:00:00-05:00,100154.27922110763,3825.435365598358,-0.27635578490036644,101519.74827272925,112561.98385774477,0.08511352813653553
2020-02-08 18:00:00-05:00,94813.21158796902,3247.126927682855,-0.2754298443396332,95974.21552253401,105371.2778700864,0.07285017393989894
2020-02-09 19:00:00-05:00,94400.00462634729,3263.583520940621,-0.2766812899654334,95564.23197048822,104976.16326014204,0.07240060327071873
2020-02-10 18:00:00-05:00,98347.84978788743,3690.9212121876335,-0.27230480041175315,99675.0655190315,110449.89108776508,0.08516549666795709
2020-02-11 18:00:00-05:00,97166.18876405229,3558.516278362791,-0.2691704876837679,98453.10638431071,108933.06733769027,0.08445672879199266
2020-02-12 18:00:00-05:00,100532.77068400245,3842.0007388975805,-0.27809017131326563,101899.81793502982,112936.71227701011,0.08416026916621215
2020-02-13 19:00:00-05:00,99910.85782570088,3807.7690086399525,-0.277005213654942,101268.41125776847,112239.8762330241,0.08422751274868873
2020-02-14 19:00:00-05:00,107141.31361900644,3892.2421725171052,-0.2746169853046012,108535.04091081803,119824.53698810434,0.08796373432942298
2020-02-15 07:00:00-05:00,104534.43534707745,3909.291174548765,-0.33284667058873674,105790.71794070453,115513.54902658272,0.05240502743589874
2020-02-16 19:00:00-05:00,94468.21580425747,3270.803632928674,-0.2780767545075772,95632.05021819139,105028.41848675102,0.0716566492535241
2020-02-17 07:00:00-05:00,103435.5495776641,3930.325931503864,-0.3034129999487607,104770.31966437251,115313.87472507662,0.06858854232662141
2020-02-18 07:00:00-05:00,97166.18876405229,3558.516278362791,-0.2691704876837679,98453.10638431071,108933.06733769027,0.08445672879199266
2020-02-19 19:00:00-05:00,103435.5495776641,3930.325931503864,-0.3034129999487607,104770.31966437251,115313.87472507662,0.06858854232662141
2020-02-20 19:00:00-05:00,107141.31361900644,3892.2421725171052,-0.2746169853046012,108535.04091081803,119824.53698810434,0.08796373432942298
2020-02-21 07:00:00-05:00,115161.46573131497,4749.443651460873,-0.15391215167255548,117267.28599063214,137287.911317552,0.3191051035090621
2020-02-22 07:00:00-05:00,98164.10576843692,3685.924214915849,-0.2714024043446631,99491.70258977468,110279.13570378443,0.08574286750497055
2020-02-23 07:00:00-05:00,84180.21059803542,4616.709820100917,-0.4351315574233985,85390.73185870444,94491.12740286293,0.02483889553305607
2020-02-24 07:00:00-05:00,96800.45491095578,3507.5413511184165,-0.2724503431933746,98061.39515175486,108296.72003975153,0.08082832370415867
2020-02-25 18:00:00-05:00,94813.21158796902,3247.126927682855,-0.2754298443396332,95974.21552253401,105371.2778700864,0.07285017393989894
2020-02-26 18:00:00-05:00,97166.18876405229,3558.516278362791,-0.2691704876837679,98453.10638431071,108933.06733769027,0.08445672879199266
2020-02-27 19:00:00-05:00,104275.49971558504,3917.472567847837,-0.3245913051813979,105554.22353777265,115502.26970954592,0.056544037756186355
2020-02-28 07:00:00-05:00,104534.43534707745,3909.291174548765,-0.33284667058873674,105790.71794070453,115513.54902658272,0.05240502743589874
2020-02-29 19:00:00-05:00,98347.84978788743,3690.9212121876335,-0.27230480041175315,99675.0655190315,110449.89108776508,0.08516549666795709
2020-03-01 07:00:00-05:00,90961.1495977688,3820.8175460053817,-0.3216643697632767,92215.21781988087,101990.41957035975,0.05661406384712032
2020-03-02 07:00:00-05:00,97166.18876405229,3558.516278362791,-0.2691704876837679,98453.10638431071,108933.06733769027,0.08445672879199266
2020-03-03 19:00:00-05:00,88898.74613939988,4018.0099652436847,-0.37131955603838507,90097.63999872857,99204.96244670231,0.03818366887282711
2020-03-04 07:00:00-05:00,88898.74613939988,4018.0099652436847,-0.37131955603838507,90097.63999872857,99204.96244670231,0.03818366887282711
2020-03-05 07:00:00-05:00,95525.23480461078,3222.7612631113484,-0.2731807169657656,96682.2588436806,106067.40916376552,0.07377987716256877
