index,theoretical,actual
164,-1381.522496643699,-989.2820592954813
165,-1353.8207616179152,-967.4501864695776
166,-1326.1413083375573,-950.4629069718794
167,-1298.4827879584088,-933.9497818085947
168,-1270.843858665313,-931.2820592954813
169,-1243.2231852038074,-923.7764622273535
170,-1215.6194384175021,-888.1903272312629
171,-1188.0312947907805,-878.4491637952597
172,-1160.4574359964045,-873.1259609447588
173,-1132.8965484476184,-817.1682453704852
174,-1105.3473228543485,-815.1990319746983
175,-1077.8084537831107,-800.3600012714451
176,-1050.2786392202306,-774.9590891819535
177,-1022.7565801380008,-756.892556867766
178,-995.2409800633939,-755.7516839784948
179,-967.7305446489625,-745.1259609447588
180,-940.2239812455525,-725.9754553948151
181,-912.7199984764651,-670.3590794399352
182,-885.2173058127036,-603.9229470597202
183,-857.714613148942,-540.2889552811248
184,-830.2106303798546,-536.3590794399352
185,-802.7040669764447,-522.2637363655958
186,-775.1936315620133,-500.9497818085947
187,-747.6780314874063,-497.2820592954813
188,-720.1559724051764,-495.6810329680011
189,-692.6261578422964,-465.9368391748576
190,-665.0872887710586,-439.7764622273535
191,-637.5380631777887,-435.35907943993516
192,-609.9771756290022,-383.7411563194037
193,-582.403316834626,-354.97545539481507
194,-554.8151732079044,-341.18465258803917
195,-527.2114264215992,-310.1548263119621
196,-499.59075296009354,-298.2889552811248
197,-471.95182366699777,-264.89361568927416
198,-444.29330328784914,-262.93292410280264
199,-416.6138500074914,-243.97545539481507
200,-388.9121149817074,-234.79907801024092
201,-361.186741862673,-219.16824537048524
202,-333.43636631778065,-205.19772759916668
203,-305.6596155413931,-199.6810329680011
204,-277.85510775903674,-191.98473295450094
205,-250.02145172357166,-126.2820592954813
206,-222.1572462028347,-107.35907943993516
207,-194.26107945825015,-88.68103296800109
208,-166.33152871388006,-31.934480968498974
209,-138.36715961537266,-2.2889552811247995
210,-110.36652567825013,-0.3745151377224829
211,-82.3281677249563,18.31896703199891
212,-54.25061331006259,30.04091081804654
213,-26.132376133014645,51.22353777264652
214,2.0280445622244088,59.25884368059633
215,30.23216460130584,113.20092198975908
216,58.48151550808859,134.63999872855493
217,86.7776451484225,139.83175462951476
218,115.12211838986434,179.80731404178368
219,143.51651777811105,218.01526704549906
220,171.9624442309604,235.22353777264652
221,200.46151775064675,244.7110447188752
222,229.01537815543304,255.73626363440417
223,257.62568583138466,264.8950409007957
224,286.29412250528196,278.7179407045187
225,315.02239203968054,279.66908663530194
226,343.81222125117085,280.63999872855493
227,372.665360752933,301.9672107288643
228,401.5835858227414,383.7110447188752
229,430.5686972976242,401.87403905524116
230,459.62252249643836,449.0502181914053
231,488.7469161716898,462.2009219897591
232,517.9437614919797,464.02454460518493
233,547.2149710565458,508.2588436805963
234,576.5624879434234,519.2588436805963
235,605.9882867928358,526.6409205600648
236,635.4943749275081,528.9266714544647
237,665.0827935116821,549.9335664064856
238,694.7556187507124,557.6399987285549
239,724.5149631331946,603.7025897746789
240,754.3629767177302,629.7110447188752
241,784.3018484664984,644.065519031501
242,814.333807627948,678.0245446051849
243,844.4611251710479,705.8073140417837
244,874.6861152736625,711.1063843107258
245,905.0111368677716,741.1453918971238
246,935.4385952443996,768.0913129858382
247,965.9709437212927,798.2155225339957
248,996.6106853765456,808.6662498681108
249,1027.3603748515793,809.9495457307785
250,1058.2226202270635,818.065519031501
251,1089.200084975594,832.6283936544351
252,1120.29548999516,844.7179407045187
253,1151.5116157276889,855.8074285588373
254,1182.851304367211,859.2155225339957
255,1214.3174621624698,866.0670758971974
256,1245.9130618191093,898.0502181914053
257,1277.6411450068772,935.5508362047403
258,1309.5048249776578,960.8022724008333
259,1341.507289300488,1138.8022724008333
260,1373.6518027201341,1155.024544605185
261,1405.9417101462286,1251.637720639701
262,1438.3804397804274,1255.024544605185
263,1470.9715063895528,1257.7110447188752
264,1503.7185147332211,1266.9836602923606
265,1536.6251631550322,1296.065519031501
266,1569.6952473470324,1500.0670758971974
267,1602.9326642978244,1510.2483160215052
268,1636.3414164354404,1591.9495457307785
269,1669.9256159768865,1594.2859906321391
270,1703.6894894971006,1653.0670758971974
271,1737.6373827310267,1695.8937308247696
272,1771.773765623478,1716.817935029816
273,1806.1032376425806,1726.9836602923606
274,1840.630533373756,1735.845173688038
275,1875.3605284125001,1746.4112577684864
276,1910.2982455755946,1751.2155225339957
277,1945.4488614519546,1840.8950409007957
278,1980.8177133159315,1854.8317546295148
279,2016.4103064277392,1941.0409108180465
280,2052.2323217476333,1954.9836602923606
281,2088.289624092654,1995.2588436805963
282,2124.5882707671017,1998.372248249536
283,2161.1345207005197,2004.2155225339957
284,2197.934844129808,2012.6404477004544
285,2234.995932865208,2029.2235377726465
286,2272.3247111833525,2039.8358749408071
287,2309.92834739434,2071.0502181914053
288,2347.8142661339803,2071.9230703631038
289,2385.9901614369232,2075.2235377726465
290,2424.4640106515003,2077.285990632139
291,2463.244089262678,2120.248316021505
292,2502.3389866957705,2136.874039055241
293,2541.757623180431,2138.637720639701
294,2581.509267762095,2156.091312985838
295,2621.6035575565575,2190.3972504505655
296,2662.050518352831,2229.024544605185
297,2702.860586679984,2253.7179407045187
298,2744.044633465475,2296.9266714544647
299,2785.6139894256457,2329.817935029816
300,2827.5804723438614,2372.6662498681108
301,2869.9564164083217,2435.8022724008333
302,2912.754703800247,2457.817935029816
303,2955.9887987440966,2517.065519031501
304,2999.672784255199,2563.718381254177
305,3043.8214018468975,2573.8317546295148
306,3088.4500944896727,2646.9836602923606
307,3133.5750531490557,2662.702589774679
308,3179.213267268305,2696.640920560065
309,3225.3825796063647,2843.2588436805963
310,3272.101745892529,2882.2235377726465
311,3319.390499817516,2892.248316021505
312,3367.26962394752,3039.9836602923606
313,3415.7610272246566,3056.835874940807
314,3464.887829805961,3066.107443132234
315,3514.6744560955576,3071.7179407045187
316,3565.146736943495,3137.285990632139
317,3616.332022122865,3269.285990632139
318,3668.2593043580428,3327.0502181914053
319,3720.959356365145,3331.9836602923606
320,3774.4648825870845,3335.9266714544647
321,3828.8106875657295,3368.065519031501
322,3884.0338632012454,3428.106384310726
323,3940.1739975131677,3439.0719662776246
324,3997.2734079516067,3638.6404477004544
325,4055.3774028253065,3667.6404477004544
326,4114.53457503506,3716.8950409007957
327,4174.7971330502605,3755.091312985838
328,4236.221274973214,3845.2588436805963
329,4298.867612638706,3912.6404477004544
330,4362.801654044272,3983.8317546295148
331,4428.094354062959,3985.2235377726465
332,4494.822745436641,4044.6404477004544
333,4563.070664591289,4142.050218191405
334,4632.929589995918,4166.285990632139
335,4704.499614790188,4174.640447700454
336,4777.890580480054,4209.372248249536
337,4853.223404980325,4301.106384310726
338,4930.631646622571,4306.831754629515
339,5010.263356570299,4342.2235377726465
340,5092.283286257932,4346.718873551581
341,5176.875535212299,4366.091312985838
342,5264.246749654911,4445.740798650964
343,5354.630016110685,4466.248316021505
344,5448.28964050192,4491.127753088222
345,5545.5270672800025,4558.831754629515
346,5646.688283177382,4608.383223388286
347,5752.173178640299,4723.748272729237
348,5862.447526493381,4758.7602573371405
349,5978.058513205691,4801.895040900796
350,6099.655174616914,4880.067075897197
351,6228.015731593784,5124.050218191405
352,6364.084841794017,5417.640447700454
353,6509.025450548928,5517.640447700454
354,6664.292738140937,5553.091312985838
355,6831.742598104072,5604.643007600287
356,7013.796138552331,5668.802272400833
357,7213.699211888851,6082.106384310726
358,7435.952048742646,6471.831754629515
359,7687.064334309597,6500.845173688038
360,7976.987908157512,6603.640447700454
361,8322.127383705008,6644.831754629515
362,8752.646748506386,6780.983660292361
363,9334.627036694044,7510.807314041784
364,10271.630026516686,8421.071966277625
365,inf,9571.071966277625
