ERCOT 15-Minute Fuel Mix Generation (megawatt)
15-minute generation data by fuel for ERCOT
Source: EIA collected from ERCOT
UTC Timestamp (Interval Ending),Local Timestamp Central Time (Interval Beginning),Local Timestamp Central Time (Interval Ending),Local Date,Hour Number,Total Generation (MW),Biomass Generation (MW),Coal Generation (MW),Gas Generation (MW),Gas-CC Generation (MW),Hydro Generation (MW),Nuclear Generation (MW),Other Generation (MW),Solar Generation (MW),WSL Generation (MW),Wind Generation (MW)
2023-07-01 05:15:00,2023-07-01 00:00:00,2023-07-01 00:15:00,2023-07-01,1,58274.077332,57.09512,10038.80558,4168.670044,24385.264204,15.711276,4634.925644,93.076412,0.008024,-76.812816,14957.333844
2023-07-01 05:30:00,2023-07-01 00:15:00,2023-07-01 00:30:00,2023-07-01,1,57412.471864,57.196924,10058.08614,4160.700868,23790.482452,15.754472,4636.109268,70.402676,0.024696,-123.39172,14747.106088
2023-07-01 05:45:00,2023-07-01 00:30:00,2023-07-01 00:45:00,2023-07-01,1,56679.060772,56.84522,9985.879036,3970.750496,23703.634428,15.511628,4634.898216,1.840548,0.000384,-291.538668,14601.239484
2023-07-01 06:00:00,2023-07-01 00:45:00,2023-07-01 01:00:00,2023-07-01,1,55847.165868,56.79166,9400.570384,3468.049128,23316.439064,15.812476,4636.257272,8.374916,0.000384,-161.594828,15106.465412
2023-07-01 06:15:00,2023-07-01 01:00:00,2023-07-01 01:15:00,2023-07-01,2,55211.616628,56.877104,8628.322868,3177.466792,22937.054372,15.981204,4637.2325,39.222124,0.004172,-98.418536,15817.874028
2023-07-01 06:30:00,2023-07-01 01:15:00,2023-07-01 01:30:00,2023-07-01,2,54515.19426,56.914216,8150.1046,3124.384052,22974.119852,15.82434,4636.763968,64.4279,0.011748,-75.453432,15568.097016
2023-07-01 06:45:00,2023-07-01 01:30:00,2023-07-01 01:45:00,2023-07-01,2,53826.792324,57.0029,8188.19186,3187.612868,22779.675392,15.81252,4636.930964,91.371816,0.027036,-59.148916,14929.315884
2023-07-01 07:00:00,2023-07-01 01:45:00,2023-07-01 02:00:00,2023-07-01,2,53382.784668,57.548204,8500.77856,3291.031512,23058.82756,16.059676,4640.122632,151.055672,0.04606,-43.426584,13710.741376
2023-07-01 07:15:00,2023-07-01 02:00:00,2023-07-01 02:15:00,2023-07-01,3,53062.993064,56.76398,8733.906868,3311.668408,23133.914096,25.1712,4636.10726,28.067232,0.246912,-123.762796,13260.909904
2023-07-01 07:30:00,2023-07-01 02:15:00,2023-07-01 02:30:00,2023-07-01,3,52436.356064,56.736824,8738.86326,3083.26768,23158.467324,40.440688,4636.949832,36.994108,0.002972,-96.343276,12780.976652
